date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:40	38/38	U-----	200	untouched ('OK')	text/plain	etag:%2267185164-26%22	https://www.careerplanwiki.com/robots.txt		(from )
17:19:40	10145/10145	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:19:40%20GMT	https://www.careerplanwiki.com/	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/index.html	(from )
17:19:40	114011/114011	UR-MCZ	200	updated ('OK')	text/css	etag:W/%225c25decb-1bd5b%22	https://www.careerplanwiki.com/assets/wiki/bootstrap/css/bootstrap.min.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/bootstrap/css/bootstrap.min2c03.css	(from https://www.careerplanwiki.com/)
17:19:40	13484/13484	UR-MCZ	200	updated ('OK')	text/css	etag:W/%225c25decb-34ac%22	https://www.careerplanwiki.com/assets/wiki/iconfont/iconfont.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/iconfont/iconfont2c03.css	(from https://www.careerplanwiki.com/)
17:19:40	40010/40010	UR-MCZ	200	updated ('OK')	text/css	etag:W/%225c25decb-9c4a%22	https://www.careerplanwiki.com/assets/wiki/css/style.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/css/style2c03.css	(from https://www.careerplanwiki.com/)
17:19:41	10145/10145	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:19:41%20GMT	https://www.careerplanwiki.com/home	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/home.html	(from https://www.careerplanwiki.com/)
17:19:41	16955/16955	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:19:41%20GMT	https://www.careerplanwiki.com/school	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/school.html	(from https://www.careerplanwiki.com/)
17:19:41	240885/240885	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:19:41%20GMT	https://www.careerplanwiki.com/major	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/major.html	(from https://www.careerplanwiki.com/)
17:19:41	11051/11051	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:19:41%20GMT	https://www.careerplanwiki.com/trade	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/trade.html	(from https://www.careerplanwiki.com/)
17:19:42	20957/20957	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:19:42%20GMT	https://www.careerplanwiki.com/company	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/company.html	(from https://www.careerplanwiki.com/)
